tree_id	tips	type_Ia_tips	type_Ib_tips	type_II_tips	all_type_II_unrooted_monophyletic	type_II_PDB_anchor_unrooted_monophyletic	maximal_pure_type_II_split_sizes	maximal_pure_type_II_splits	branch_length_audit_status	max_abs_error	max_rel_error
AA	35	13	6	16	TRUE	TRUE	16	A0A0C1E1M3,A0A2K1QM62,A0A3R9YGQ0,A0A6C0K4M0,A0A6C0KMJ6,A0A7S4DIG3,A0A7U9HBN6,A0A7W7U179,A0A8S1KPK8,A0AAD1X4M3,A0AAF0IM81,A0AAN6UZ16,A0AAU9J3H2,2B7O*,3NV8*,5CKV*	PASS	1.55431223447522e-15	1.91347855442117e-11
3Di	35	13	6	16	TRUE	TRUE	16	A0A0C1E1M3,A0A2K1QM62,A0A3R9YGQ0,A0A6C0K4M0,A0A6C0KMJ6,A0A7S4DIG3,A0A7U9HBN6,A0A7W7U179,A0A8S1KPK8,A0AAD1X4M3,A0AAF0IM81,A0AAN6UZ16,A0AAU9J3H2,2B7O*,3NV8*,5CKV*	PASS	6.66133814775094e-16	1.33884167279931e-14
